childId,childName,parentId,parentName
9787,Domaso,107,"cities, towns, villages (non-UK)"
17788,"McKendry, John",102,named individuals
4900,Izmir,107,"cities, towns, villages (non-UK)"
23129,"Letchworth, Norton Common",115,"UK cities, towns and villages"
18388,death - ahstray,164,birth to death
18389,energy - cigarette lighter,1030,abstract concepts
2512,claustrophobia,178,diseases and conditions
18386,"Bacon, Francis, paintings",10639,"fine art and design, named works"
18392,"Graham, Dan, pavilion",10639,"fine art and design, named works"
18391,"Haacke, Hans, 'Condensation Cube'",10639,"fine art and design, named works"
18387,"Nauman, Bruce, 'Learned Helplessness in Rats, (Rock and Roll Drummer)",10639,"fine art and design, named works"
18390,"film: Figgis, Mike, 'Internal Affairs'",10058,"film, music and ballet"
15147,Pirna - non-specific,107,"cities, towns, villages (non-UK)"
11839,"'Attius Insteius Tertullus', sculpture",10639,"fine art and design, named works"
12373,"Gorky, Maxim",102,named individuals
12372,"book, Gorky, Maxim, 'Articles and Pamphlets'",174,"reading, writing, printed matter"
17113,"Malaga, La Malagueta",107,"cities, towns, villages (non-UK)"
6838,"Clapham, Clapham Junction Station",9301,UK London
14966,"Macdonald, Flora",102,named individuals
14965,"Stuart, Charles Edward, Prince",102,named individuals
14967,Jacobite - rose,8028,politics
13940,"Bamberg, Bamberg Cathedral",107,"cities, towns, villages (non-UK)"
10155,Pope - coat of arms,165,religious
15648,"sport: Sarajevo Winter Olympic Games, 1984",38,politics and society
11297,Saint Raphaël,107,"cities, towns, villages (non-UK)"
15153,Varignano,107,"cities, towns, villages (non-UK)"
9074,"East Barsham, East Barsham Manor",115,"UK cities, towns and villages"
16038,"Lorimer, Robert, Sir",102,named individuals
13696,"Alexandria, Pompey's Pillar",107,"cities, towns, villages (non-UK)"
2395,"Kinsella, Louise",102,named individuals
2394,Vétheuil,107,"cities, towns, villages (non-UK)"
10904,"Berriedale, non-specific",115,"UK cities, towns and villages"
28939,"Baiae, Punta dell’Epittafio",107,"cities, towns, villages (non-UK)"
19590,Hampstead Perrins Court,9301,UK London
19589,"Hampstead, High Street",9301,UK London
4091,"Cowper, Ashley",102,named individuals
4093,"Cowper, Theodora",102,named individuals
4092,"Oakes, Dorothy",102,named individuals
14504,"period: Regency, c.1811-20",38,politics and society
11417,kennel,14,agricultural
5524,"Wertheimer, Asher",102,named individuals
17657,"politics: March on Rome, 28 October, 1922",38,politics and society
17655,Marina di Massa,107,"cities, towns, villages (non-UK)"
19349,"Duisburg, Friedrich Wilhelm Strasse 40, Wilhelm Lehmbruck Museum",107,"cities, towns, villages (non-UK)"
19348,"exhibition: 'Von Lehmbruck bis Beuys', Wilhelm Lehmbruck Museum, Duisburg, 1978",18725,arts
13183,"Abrahams, Ivor, sculpture, 'Effigie du Pays d'Oc II'",10639,"fine art and design, named works"
11630,Tanera Mhor,112,UK natural features
9751,Orange,107,"cities, towns, villages (non-UK)"
16299,plastic surgery,6927,lifestyle and culture
16891,"Washington DC, The Whitehouse",107,"cities, towns, villages (non-UK)"
6601,"Collman, Mary Ann",102,named individuals
14476,"Hone, J.M.",102,named individuals
8649,St Christopher,136,Saints
26753,Duddingston Loch,112,UK natural features
