childId,childName,parentId,parentName
19139,"Duisburg, Düsseldorfer Strasse 51, Wilhelm Lehmbruck Museum",107,"cities, towns, villages (non-UK)"
19138,"exhibition: 'Museum und Kirche: Religiöse Aspekte Moderner Kunst', Willhelm Lehmbruck Museum, Duisburg, 1991",18725,arts
11636,Portpatrick,115,"UK cities, towns and villages"
12266,Malines - non-specific,107,"cities, towns, villages (non-UK)"
13565,Shuna,112,UK natural features
19080,"film: John, Ole, 'Beuys, Transsibirische'",10058,"film, music and ballet"
13315,Snape,115,"UK cities, towns and villages"
13314,malting,19,industrial
14529,"Baker, Martha",102,named individuals
14530,"Mellish, Martha",102,named individuals
5077,Bishop Burton,115,"UK cities, towns and villages"
14884,"Fano, Arch of Augustus",107,"cities, towns, villages (non-UK)"
10520,"Bolzano, Runkelstein Castle",107,"cities, towns, villages (non-UK)"
13139,Amersham,115,"UK cities, towns and villages"
8466,Julia,102,named individuals
9780,"Schaffhausen, Munot",107,"cities, towns, villages (non-UK)"
13028,"Quin, James",102,named individuals
29707,"Fiesole, Monastery of Badia Fiesolana",107,"cities, towns, villages (non-UK)"
21168,preaching,5731,universal religious imagery
24742,Judea,109,historical: imagined views
24727,"Mola, Pier Francesco, painting, 'St John the Baptist Preaching'",10639,"fine art and design, named works"
2894,Gill,102,named individuals
15414,Icarus - winged globe,670,mythological
3226,"Thackeray, William Makepeace, 'The History of Henry Esmond'",58,literature (not Shakespeare)
13155,Sarteano,107,"cities, towns, villages (non-UK)"
18701,"Copenhagen, Studiestrade 18",107,"cities, towns, villages (non-UK)"
16959,"2 Corinthians, chapter 11",134,Bible: New Testament
16958,"Job, chapter 19",135,Bible: Old Testament
16957,"Job, chapter 20",135,Bible: Old Testament
