decade
199
180
184
197
195
181
183
""
187
189
188
174
196
182
191
178
200
192
179
190
172
194
169
198
177
193
201
173
186
185
175
171
176
165
157
168
154
164
162
161
167
159
163
156
170
166
158
160
155
