id,material
27460,"on paper, unique Graphite on paper"
49014,"on paper, unique Graphite on paper"
25065,"on paper, unique Graphite and ink on paper"
30844,"on paper, unique"
24966,"on paper, unique Graphite on paper. Verso: graphite on paper"
16645,"on paper, print Line engraving on paper"
48915,"on paper, unique Graphite on paper"
6059,sculpture Alabaster on marble base
58751,"on paper, unique Graphite on paper"
56355,"on paper, unique Graphite on paper"
8454,"on paper, unique Graphite, watercolour and gouache on paper"
62234,"on paper, unique Graphite on paper"
40680,"on paper, unique"
23503,"on paper, unique Ink on paper"
16648,"on paper, print Engraving on paper"
25062,"on paper, unique Graphite and watercolour on paper"
30849,"on paper, unique"
24963,"on paper, unique Graphite on paper"
6052,painting Oil paint and graphite on board
20169,painting Oil paint on canvas
22566,"on paper, unique Graphite and watercolour on paper"
19144,"on paper, print Lithograph on paper"
33345,"on paper, unique Oil, watercolour and ink on paper"
56356,"on paper, unique Graphite on paper"
58752,"on paper, unique Graphite on paper"
63690,"on paper, unique Graphite and watercolour on paper"
5954,"on paper, print Screenprint on paper"
53859,"on paper, unique Graphite on paper"
25063,"on paper, unique Chalk on paper"
6053,sculpture Serravezza marble
22565,"on paper, unique Watercolour and graphite on paper"
33344,"on paper, unique Graphite and watercolour on paper"
19145,"on paper, print Lithograph on paper"
63691,"on paper, unique Graphite on paper"
24964,"on paper, unique Graphite on paper"
16647,"on paper, print Line engraving on paper"
56357,"on paper, unique Graphite on paper"
58753,"on paper, unique Graphite on paper"
99487,"sculpture Wood, glass and cloves"
5955,painting Acrylic paint on canvas
8451,painting Oil paint on canvas
24961,"on paper, unique Graphite on paper"
30847,"on paper, unique"
22568,"on paper, unique Graphite, watercolour and ink on paper"
63692,"on paper, unique Graphite on paper"
33343,"on paper, unique Graphite and watercolour on paper"
19142,"on paper, print Lithograph on paper"
6054,painting Oil paint and graphite on board
25060,"on paper, unique Graphite and ink on paper. Verso: graphite and ink on paper"
56358,"on paper, unique Graphite on paper"
23500,"on paper, unique Graphite and watercolour on paper"
58754,"on paper, unique Graphite on paper"
53857,"on paper, unique Graphite on paper"
5956,"on paper, print Lithograph on paper"
49019,"on paper, unique Graphite on paper"
62239,"on paper, unique Graphite on paper"
24962,"on paper, unique Graphite on paper"
8450,"on paper, print Lithograph on paper"
30848,"on paper, unique"
16649,"on paper, print Line engraving on paper"
63693,"on paper, unique Graphite on paper"
97922,"on paper, print Linocut print on paper"
22567,"on paper, unique Graphite and watercolour on paper"
33342,"on paper, unique Watercolour on paper"
97089,"on paper, print Photograph, black and white, on paper"
19143,"on paper, print Lithograph on paper"
48919,"on paper, unique Graphite on paper"
6055,painting Oil paint and graphite on board
25061,"on paper, unique Graphite and watercolour on paper"
56359,"on paper, unique Graphite on paper"
58755,"on paper, unique Graphite on paper"
5957,"on paper, unique Watercolour on paper"
62238,"on paper, unique Graphite on paper"
53858,"on paper, unique Graphite on paper"
49018,"on paper, unique Graphite on paper"
19148,"on paper, print Lithograph on paper"
5961,"on paper, unique Watercolour on paper"
44128,"on paper, unique"
46525,"on paper, unique Graphite on paper"
48922,"on paper, unique Graphite on paper"
49021,"on paper, unique Graphite on paper"
6060,sculpture Bronze
48089,"on paper, unique Graphite on paper"
47989,"on paper, unique Graphite on paper"
27459,"on paper, unique Graphite on paper"
51458,"on paper, unique Graphite on paper"
53855,"on paper, unique Graphite on paper"
6061,sculpture Plaster and string on plaster base
46526,"on paper, unique Graphite on paper"
5962,painting Oil paint on wood
44127,"on paper, unique"
